ID	Taxon	Gloss	GlossID	Orthography	IPA	TOKENS	CogID	CLPA_TOKENS	CLPA_IDS
70	Turkish	belly	10	karın	karn	k a r n	1011	k a r n	838 997 153 107
71	Albanian	big	11	madh	mað	m a ð	198	m a ð	241 997 419
72	English	big	11	big	bɪg	b ɪ g	196	b ɪ ɡ	257 1110 831
73	French	big	11	grand	grɑ̃d	g r ɑ̃ d	195	ɡ r ɑ̃ d	831 153 951 145
74	German	big	11	groß	groːs	g r oː s	194	ɡ r oː s	831 153 880 89
75	Hawaiian	big	11	nui	nui	n u i	200	n u i	107 868 1076
76	Navajo	big	11	'áníƚtso	ʔayniɬʦo	ʔ ay n i ɬ ʦ o	199	ʔ ? n i ɬ ts o	409 ? 107 1076 540 15 887
77	Turkish	big	11	büyük	byjyk	b y j y k	197	b y j y k	257 1047 570 1047 838
78	Albanian	bird	12	zog	zog	z o g	-482	z o ɡ	80 887 831
79	English	bird	12	bird	bərd	b ə r d	480	b ə r d	257 1022 153 145
80	French	bird	12	oiseau	wazo	w a z o	479	w a z o	462 997 80 887
81	German	bird	12	Vogel	foːgəl	f oː g ə l	478	f oː ɡ ə l	452 880 831 1022 554
82	Hawaiian	bird	12	manu	manu	m a n u	484	m a n u	241 997 107 868
83	Navajo	bird	12	tsídii	ʦidiː	ʦ i d iː	483	ts i d iː	15 1076 145 1068
84	Turkish	bird	12	kuş	kuʃ	k u ʃ	481	k u ʃ	838 868 683
85	Albanian	bite	13	kafshon	kafʃo	k a f ʃ o	714	k a f ʃ o	838 997 452 683 887
86	English	bite	13	bites	bait	b ai t	711	b ai t	257 1037 120
87	French	bite	13	mord	mɔr	m ɔ r	712	m ɔ r	241 916 153
88	German	bite	13	beißt	bais	b ai s	711	b ai s	257 1037 89
89	Hawaiian	bite	13	nahu	nahu	n a h u	716	n a h u	107 997 405 868
90	Navajo	bite	13	'aháshháásh	ʔahayɬhaːʃ	ʔ a h ay ɬ h aː ʃ	715	ʔ a h ? ɬ h aː ʃ	409 997 405 ? 540 405 1004 683
91	Turkish	bite	13	ısırıyor	ɯsɯr	ɯ s ɯ r	713	ɯ s ɯ r	944 89 944 153
92	Albanian	black	14	zi	zez	z e z	133	z e z	80 1089 80
93	English	black	14	black	blak	b l a k	131	b l a k	257 554 997 838
94	French	black	14	noir	nwar	n w a r	130	n w a r	107 462 997 153
95	German	black	14	schwarz	ʃvarʦ	ʃ v a r ʦ	129	ʃ v a r ts	683 451 997 153 15
96	Hawaiian	black	14	`ele`ele	ʔeleʔele	ʔ e l e ʔ e l e	136	ʔ e l e ʔ e l e	409 1089 554 1089 409 1089 554 1089
97	Navajo	black	14	ƚizhin	ɬiʒin	ɬ i ʒ i n	134	ɬ i ʒ i n	540 1076 685 1076 107
98	Turkish	black	14	kara	kara	k a r a	132	k a r a	838 997 153 997
99	Albanian	blood	15	gjak	ɟakr	ɟ a k r	1115	ɟ a k r	609 997 838 153
100	English	blood	15	blood	bləd	b l ə d	1112	b l ə d	257 554 1022 145
101	French	blood	15	sang	sɑ̃	s ɑ̃	1113	s ɑ̃	89 951
102	German	blood	15	Blut	bluːt	b l uː t	1112	b l uː t	257 554 860 120
103	Hawaiian	blood	15	koko	koko	k o k o	1117	k o k o	838 887 838 887
104	Navajo	blood	15	diƚ	diɬ	d i ɬ	1116	d i ɬ	145 1076 540
105	Turkish	blood	15	kan	kan	k a n	1114	k a n	838 997 107
106	Albanian	blow	16	fryn	fry	f r y	81	f r y	452 153 1047
107	English	blow	16	blows	blo	b l o	78	b l o	257 554 887
108	French	blow	16	vente	vɑ̃te	v ɑ̃ t e	79	v ɑ̃ t e	451 951 120 1089
109	German	blow	16	bläst	blaːz	b l aː z	78	b l aː z	257 554 1004 80
110	Hawaiian	blow	16	puhi	puhi	p u h i	83	p u h i	291 868 405 1076
111	Navajo	blow	16	ních'i	niʧˀi	n i ʧˀ i	82	n i tʃʼ i	107 1076 652 1076
112	Turkish	blow	16	esiyor	es	e s	80	e s	1089 89
113	Albanian	bone	17	kockë	koʦk	k o ʦ k	608	k o ts k	838 887 15 838
114	English	bone	17	bone	bon	b o n	606	b o n	257 887 107
115	French	bone	17	os	ɔs	ɔ s	605	ɔ s	916 89
116	German	bone	17	Knochen	knoxən	k n o x ə n	604	k n o x ə n	838 107 887 778 1022 107
117	Hawaiian	bone	17	iwi	iwi	i w i	610	i w i	1076 462 1076
118	Navajo	bone	17	ts'in	ʦˀin	ʦˀ i n	609	tsʼ i n	16 1076 107
119	Turkish	bone	17	kemik	kemik	k e m i k	607	k e m i k	838 1089 241 1076 838
120	Albanian	breast	18	gji	ɟir	ɟ i r	208	ɟ i r	609 1076 153
121	English	breast	18	breast	brɛst	b r ɛ s t	205	b r ɛ s t	257 153 1121 89 120
122	French	breast	18	sein	sɛ̃	s ɛ̃	206	s ɛ̃	89 1123
123	German	breast	18	Brust	brust	b r u s t	205	b r u s t	257 153 868 89 120
124	Hawaiian	breast	18	ū	uː	uː	211	uː	860
125	Navajo	breast	18	'abe'	beʔ	b e ʔ	209	b e ʔ	257 1089 409
126	Turkish	breast	18	meme	meme	m e m e	207	m e m e	241 1089 241 1089
127	Albanian	breathe	19	marr frymë	frym	f r y m	755	f r y m	452 153 1047 241
128	English	breathe	19	breathes	brið	b r i ð	753	b r i ð	257 153 1076 419
129	French	breathe	19	respire	rɛspire	r ɛ s p i r e	-752	r ɛ s p i r e	153 1121 89 291 1076 153 1089
130	German	breathe	19	atmet	aːtm	aː t m	751	aː t m	1004 120 241
131	Hawaiian	breathe	19	hanu	hanu	h a n u	757	h a n u	405 997 107 868
132	Navajo	breathe	19	ńdísdzih	ńdiʣih	ń d i ʣ i h	756	? d i dz i h	? 145 1076 20 1076 405
133	Turkish	breathe	19	nefes alıyor	nefes	n e f e s	-754	n e f e s	107 1089 452 1089 89
134	Albanian	burn	20	digjet	diɟ	d i ɟ	516	d i ɟ	145 1076 609
135	English	burn	20	burns	bərn	b ə r n	514	b ə r n	257 1022 153 107
136	French	burn	20	brûle	bryle	b r y l e	-514	b r y l e	257 153 1047 554 1089
137	German	burn	20	brennt	bren	b r e n	514	b r e n	257 153 1089 107
138	Hawaiian	burn	20	`ā	ʔaː	ʔ aː	519	ʔ aː	409 1004
139	Navajo	burn	20	diltƚi'	diltˡiʔ	d i l tˡ i ʔ	517	d i l tˡ i ʔ	145 1076 554 121 1076 409
140	Turkish	burn	20	yanıyor	jan	j a n	515	j a n	570 997 107
141	Albanian	child	21	fëmiljë	fəmiʎ	f ə m i ʎ	-804	f ə m i ʎ	452 1022 241 1076 588
142	English	child	21	child	ʧaild	ʧ ai l d	802	tʃ ai l d	651 1037 554 145
143	French	child	21	enfant	ɑ̃fɑ̃t	ɑ̃ f ɑ̃ t	801	ɑ̃ f ɑ̃ t	951 452 951 120
144	German	child	21	Kind	kind	k i n d	800	k i n d	838 1076 107 145
145	Hawaiian	child	21	keiki	keiki	k e i k i	807	k e i k i	838 1089 1076 838 1076
146	Navajo	child	21	'ashkii	ʔʃkiː	ʔ ʃ k iː	805	ʔ ʃ k iː	409 683 838 1068
147	Turkish	child	21	çocuk	ʧoʤuk	ʧ o ʤ u k	803	tʃ o dʒ u k	651 887 655 868 838
148	Albanian	claw	22	thua	θon	θ o n	304	θ o n	417 887 107
149	English	claw	22	claw	klɔ	k l ɔ	301	k l ɔ	838 554 916
150	French	claw	22	griffe	grif	g r i f	-302	ɡ r i f	831 153 1076 452
151	German	claw	22	Klaue	klauə	k l au ə	301	k l au ə	838 554 1033 1022
152	Hawaiian	claw	22	miki`ao	mikiʔao	m i k i ʔ a o	307	m i k i ʔ a o	241 1076 838 1076 409 997 887
153	Navajo	claw	22	'akéshgaan	keʃgaː	k e ʃ g aː	305	k e ʃ ɡ aː	838 1089 683 831 1004
154	Turkish	claw	22	tırnak	tɯrnak	t ɯ r n a k	303	t ɯ r n a k	120 944 153 107 997 838
155	Albanian	cloud	23	re	re	r e	698	r e	153 1089
156	English	cloud	23	cloud	klaud	k l au d	696	k l au d	838 554 1033 145
157	French	cloud	23	nuage	nɥaʒ	n ɥ a ʒ	695	n ɥ a ʒ	107 458 997 685
158	German	cloud	23	Wolke	volkə	v o l k ə	694	v o l k ə	451 887 554 838 1022
159	Hawaiian	cloud	23	ao	ao	a o	700	a o	997 887
160	Navajo	cloud	23	k'os	kˀos	kˀ o s	699	kʼ o s	776 887 89
161	Turkish	cloud	23	bulut	bulut	b u l u t	697	b u l u t	257 868 554 868 120
162	Albanian	cold	24	ftohët	ftohət	f t o h ə t	75	f t o h ə t	452 120 887 405 1022 120
163	English	cold	24	cold	kold	k o l d	72	k o l d	838 887 554 145
164	French	cold	24	froid	frwad	f r w a d	73	f r w a d	452 153 462 997 145
165	German	cold	24	kalt	kalt	k a l t	72	k a l t	838 997 554 120
166	Hawaiian	cold	24	anu	anu	a n u	77	a n u	997 107 868
167	Navajo	cold	24	sik'az	sikˀaz	s i kˀ a z	76	s i kʼ a z	89 1076 776 997 80
168	Turkish	cold	24	soğuk	soɣuk	s o ɣ u k	74	s o ɣ u k	89 887 780 868 838
169	Albanian	come	25	vjen	vjen	v j e n	-560	v j e n	451 570 1089 107
170	English	come	25	comes	kəm	k ə m	560	k ə m	838 1022 241
171	French	come	25	vient	vjɛ̃	v j ɛ̃	560	v j ɛ̃	451 570 1123
172	German	come	25	kommt	kom	k o m	560	k o m	838 887 241
173	Hawaiian	come	25	hele mai	hele	h e l e	563	h e l e	405 1089 554 1089
174	Navajo	come	25	yíghááh	jiɣaːh	j i ɣ aː h	562	j i ɣ aː h	570 1076 780 1004 405
175	Turkish	come	25	geliyor	gel	g e l	561	ɡ e l	831 1089 554
176	Albanian	count	26	numëron	numəruar	n u m ə r u a r	-164	n u m ə r u a r	107 868 241 1022 153 868 997 153
177	English	count	26	counts	kaunt	k au n t	-162	k au n t	838 1033 107 120
178	French	count	26	compte	kɔ̃te	k ɔ̃ t e	162	k ɔ̃ t e	838 915 120 1089
179	German	count	26	zählt	ʦeːl	ʦ eː l	161	ts eː l	15 1091 554
180	Hawaiian	count	26	helu	helu	h e l u	166	h e l u	405 1089 554 868
181	Navajo	count	26	'ííníshta'	iːniɬtaʔ	iː n i ɬ t a ʔ	165	iː n i ɬ t a ʔ	1068 107 1076 540 120 997 409
182	Turkish	count	26	sayıyor	saj	s a j	163	s a j	89 997 570
183	Albanian	cut	27	pres	pres	p r e s	88	p r e s	291 153 1089 89
184	English	cut	27	cuts	kət	k ə t	-86	k ə t	838 1022 120
185	French	cut	27	coupe	kupe	k u p e	-85	k u p e	838 868 291 1089
186	German	cut	27	schneidet	ʃnaid	ʃ n ai d	84	ʃ n ai d	683 107 1037 145
187	Hawaiian	cut	27	`oki	ʔoki	ʔ o k i	91	ʔ o k i	409 887 838 1076
188	Navajo	cut	27	'aháshgéésh	ʔahaygeːʃ	ʔ a h ay g eː ʃ	89	ʔ a h ? ɡ eː ʃ	409 997 405 ? 831 1091 683
189	Turkish	cut	27	kesiyor	kes	k e s	87	k e s	838 1089 89
190	Albanian	day	28	ditë	dit	d i t	241	d i t	145 1076 120
191	English	day	28	day	de	d e	238	d e	145 1089
192	French	day	28	jour	ʒur	ʒ u r	239	ʒ u r	685 868 153
193	German	day	28	Tag	taːg	t aː g	238	t aː ɡ	120 1004 831
194	Hawaiian	day	28	lā	laː	l aː	243	l aː	554 1004
195	Navajo	day	28	jį́	ʤĩ́	ʤ ĩ́	242	dʒ ĩ	655 1078
196	Turkish	day	28	gün	gyn	g y n	240	ɡ y n	831 1047 107
197	Albanian	die	29	vdes	vdes	v d e s	260	v d e s	451 145 1089 89
198	English	die	29	dies	dai	d ai	-258	d ai	145 1037
199	French	die	29	meurt	mœr	m œ r	257	m œ r	241 1059 153
200	German	die	29	stirbt	ʃterb	ʃ t e r b	256	ʃ t e r b	683 120 1089 153 257
201	Hawaiian	die	29	make loa	make	m a k e	262	m a k e	241 997 838 1089
202	Navajo	die	29	daaztsą́	daːzʦã́	d aː z ʦ ã́	261	d aː z ts ã	145 1004 80 15 1014
203	Turkish	die	29	ölüyor	øl	ø l	259	ø l	1052 554
204	Albanian	dig	30	gërmon	gərmo	g ə r m o	543	ɡ ə r m o	831 1022 153 241 887
205	English	dig	30	digs	dɪg	d ɪ g	-541	d ɪ ɡ	145 1110 831
206	French	dig	30	creuse	krøze	k r ø z e	-540	k r ø z e	838 153 1052 80 1089
207	German	dig	30	gräbt	graːb	g r aː b	539	ɡ r aː b	831 153 1004 257
208	Hawaiian	dig	30	`eli	ʔeli	ʔ e l i	546	ʔ e l i	409 1089 554 1076
209	Navajo	dig	30	hahashgééd	hahageːd	h a h a g eː d	544	h a h a ɡ eː d	405 997 405 997 831 1091 145
210	Turkish	dig	30	kazıyor	kaz	k a z	542	k a z	838 997 80
211	Albanian	dirty	31	ndyrë	ndyr	n d y r	900	n d y r	107 145 1047 153
212	English	dirty	31	dirty	dərti	d ə r t i	-898	d ə r t i	145 1022 153 120 1076
213	French	dirty	31	sale	sal	s a l	-897	s a l	89 997 554
214	German	dirty	31	schmutzig	ʃmuʦix	ʃ m u ʦ i x	896	ʃ m u ts i x	683 241 868 15 1076 778
215	Hawaiian	dirty	31	lepo	lepo	l e p o	903	l e p o	554 1089 291 887
216	Navajo	dirty	31	baa'ih	baːʔih	b aː ʔ i h	901	b aː ʔ i h	257 1004 409 1076 405
217	Turkish	dirty	31	pis	pis	p i s	-899	p i s	291 1076 89
218	Albanian	dog	32	qen	cen	c e n	-1181	c e n	606 1089 107
219	English	dog	32	dog	dɑg	d ɑ g	1182	d ɑ ɡ	145 952 831
220	French	dog	32	chien	ʃjɛn	ʃ j ɛ n	1181	ʃ j ɛ n	683 570 1121 107
221	German	dog	32	Hund	hund	h u n d	1181	h u n d	405 868 107 145
222	Hawaiian	dog	32	`īlio	ʔiːlio	ʔ iː l i o	1185	ʔ iː l i o	409 1068 554 1076 887
223	Navajo	dog	32	ƚééchąą'í	ɬeːʧãːʔi	ɬ eː ʧ ãː ʔ i	1184	ɬ eː tʃ ãː ʔ i	540 1091 651 992 409 1076
224	Turkish	dog	32	köpek	køpek	k ø p e k	1183	k ø p e k	838 1052 291 1089 838
225	Albanian	drink	33	pi	pi	p i	1079	p i	291 1076
226	English	drink	33	drinks	drɪŋk	d r ɪ ŋ k	1078	d r ɪ ŋ k	145 153 1110 801 838
227	French	drink	33	bois	bwa	b w a	1079	b w a	257 462 997
228	German	drink	33	trinkt	triŋk	t r i ŋ k	1078	t r i ŋ k	120 153 1076 801 838
229	Hawaiian	drink	33	inu	inu	i n u	1082	i n u	1076 107 868
230	Navajo	drink	33	'adlą́	ʔadˡã́	ʔ a dˡ ã́	1081	ʔ a dˡ ã	409 997 146 1014
231	Turkish	drink	33	içiyor	iʧ	i ʧ	1080	i tʃ	1076 651
232	Albanian	dry	34	thatë	θat	θ a t	575	θ a t	417 997 120
233	English	dry	34	dry	drai	d r ai	572	d r ai	145 153 1037
234	French	dry	34	sec	sɛʃ	s ɛ ʃ	573	s ɛ ʃ	89 1121 683
235	German	dry	34	trocken	trokən	t r o k ə n	572	t r o k ə n	120 153 887 838 1022 107
236	Hawaiian	dry	34	malo`o	maloʔo	m a l o ʔ o	577	m a l o ʔ o	241 997 554 887 409 887
237	Navajo	dry	34	yíƚtseii	jiɬʦeiː	j i ɬ ʦ e iː	576	j i ɬ ts e iː	570 1076 540 15 1089 1068
238	Turkish	dry	34	kuru	kuru	k u r u	574	k u r u	838 868 153 868
239	Albanian	dull	35	pa mprehtë	mpreht	m p r e h t	823	m p r e h t	241 291 153 1089 405 120
240	English	dull	35	dull	dəl	d ə l	821	d ə l	145 1022 554
241	French	dull	35	émoussé	emuse	e m u s e	820	e m u s e	1089 241 868 89 1089
242	German	dull	35	stumpf	ʃtump͡f	ʃ t u m p͡f	819	ʃ t u m pf	683 120 868 241 424
243	Hawaiian	dull	35	kūmūmū	kuːmuːmuː	k uː m uː m uː	826	k uː m uː m uː	838 860 241 860 241 860
244	Navajo	dull	35	doo deení da	deːni	d eː n i	824	d eː n i	145 1091 107 1076
245	Turkish	dull	35	kör	kør	k ø r	-822	k ø r	838 1052 153
246	Albanian	dust	36	pluhur	pluhur	p l u h u r	1122	p l u h u r	291 554 868 405 868 153
247	English	dust	36	dust	dəst	d ə s t	1120	d ə s t	145 1022 89 120
248	French	dust	36	poussière	pusjɛr	p u s j ɛ r	1119	p u s j ɛ r	291 868 89 570 1121 153
249	German	dust	36	Staub	ʃtaub	ʃ t au b	1118	ʃ t au b	683 120 1033 257
250	Hawaiian	dust	36	`ehu	ʔehu	ʔ e h u	1124	ʔ e h u	409 1089 405 868
251	Navajo	dust	36	ƚeezh	ɬeːʒ	ɬ eː ʒ	1123	ɬ eː ʒ	540 1091 685
252	Turkish	dust	36	toz	toz	t o z	1121	t o z	120 887 80
253	Albanian	ear	37	vesh	veʃ	v e ʃ	438	v e ʃ	451 1089 683
254	English	ear	37	ear	ɪr	ɪ r	438	ɪ r	1110 153
255	French	ear	37	oreille	ɔrɛj	ɔ r ɛ j	438	ɔ r ɛ j	916 153 1121 570
256	German	ear	37	Ohr	oːr	oː r	438	oː r	880 153
257	Hawaiian	ear	37	pepeiao	pepeiao	p e p e i a o	441	p e p e i a o	291 1089 291 1089 1076 997 887
258	Navajo	ear	37	'ajaa'	ʤaːʔ	ʤ aː ʔ	440	dʒ aː ʔ	655 1004 409
259	Turkish	ear	37	kulak	kulak	k u l a k	439	k u l a k	838 868 554 997 838
260	Albanian	earth	38	dhe	ðer	ð e r	69	ð e r	419 1089 153
261	English	earth	38	earth	ərθ	ə r θ	66	ə r θ	1022 153 417
262	French	earth	38	terre	tɛr	t ɛ r	67	t ɛ r	120 1121 153
263	German	earth	38	Erde	eːrdə	eː r d ə	66	eː r d ə	1091 153 145 1022
264	Hawaiian	earth	38	lepo	lepo	l e p o	71	l e p o	554 1089 291 887
265	Navajo	earth	38	ƚeezh	ɬeːʒ	ɬ eː ʒ	70	ɬ eː ʒ	540 1091 685
266	Turkish	earth	38	toprak	toprak	t o p r a k	68	t o p r a k	120 887 291 153 997 838
267	Albanian	eat	39	ha	ha	h a	119	h a	405 997
268	English	eat	39	eats	it	i t	116	i t	1076 120
269	French	eat	39	mange	mɑ̃ʒe	m ɑ̃ ʒ e	117	m ɑ̃ ʒ e	241 951 685 1089
270	German	eat	39	ißt	es	e s	116	e s	1089 89
271	Hawaiian	eat	39	`ai	ʔai	ʔ a i	121	ʔ a i	409 997 1076
272	Navajo	eat	39	'ayą́	ʔajã́	ʔ a j ã́	120	ʔ a j ã	409 997 570 1014
273	Turkish	eat	39	yiyor	je	j e	118	j e	570 1089
274	Albanian	egg	40	vezë	vez	v e z	1222	v e z	451 1089 80
275	English	egg	40	egg	ɛg	ɛ g	-1222	ɛ ɡ	1121 831
276	French	egg	40	œuf	œf	œ f	1222	œ f	1059 452
277	German	egg	40	Ei	ai	ai	1222	ai	1037
278	Hawaiian	egg	40	hua	hua	h u a	1225	h u a	405 868 997
279	Navajo	egg	40	'ayęęzhii	jẽːʒiː	j ẽː ʒ iː	1224	j ẽː ʒ iː	570 1096 685 1068
280	Turkish	egg	40	yumurta	jumurta	j u m u r t a	1223	j u m u r t a	570 868 241 868 153 120 997
281	Albanian	eye	41	sy	syr	s y r	708	s y r	89 1047 153
282	English	eye	41	eye	ai	ai	706	ai	1037
283	French	eye	41	œil	œj	œ j	706	œ j	1059 570
284	German	eye	41	Auge	augə	au g ə	706	au ɡ ə	1033 831 1022
285	Hawaiian	eye	41	maka	maka	m a k a	710	m a k a	241 997 838 997
286	Navajo	eye	41	'anáá'	naːʔ	n aː ʔ	709	n aː ʔ	107 1004 409
287	Turkish	eye	41	göz	gøz	g ø z	707	ɡ ø z	831 1052 80
288	Albanian	fall	42	bie	bie	b i e	223	b i e	257 1076 1089
289	English	fall	42	falls	fɔl	f ɔ l	220	f ɔ l	452 916 554
290	French	fall	42	tombe	tɔ̃be	t ɔ̃ b e	-221	t ɔ̃ b e	120 915 257 1089
291	German	fall	42	fällt	fal	f a l	220	f a l	452 997 554
292	Hawaiian	fall	42	hina	hina	h i n a	226	h i n a	405 1076 107 997
293	Navajo	fall	42	naashtƚíísh	naːtˡiːʃ	n aː tˡ iː ʃ	224	n aː tˡ iː ʃ	107 1004 121 1068 683
294	Turkish	fall	42	düşüyor	dyʃ	d y ʃ	222	d y ʃ	145 1047 683
295	Albanian	far	43	larg	larg	l a r g	-191	l a r ɡ	554 997 153 831
296	English	far	43	far	fɑr	f ɑ r	188	f ɑ r	452 952 153
297	French	far	43	loin	lwɛ̃	l w ɛ̃	189	l w ɛ̃	554 462 1123
298	German	far	43	fern	fern	f e r n	188	f e r n	452 1089 153 107
299	Hawaiian	far	43	mamao	mamao	m a m a o	193	m a m a o	241 997 241 997 887
300	Navajo	far	43	nízahgóó	nizah	n i z a h	192	n i z a h	107 1076 80 997 405
301	Turkish	far	43	uzak	uzak	u z a k	190	u z a k	868 80 997 838
302	Albanian	father	44	babë	babə	b a b ə	-107	b a b ə	257 997 257 1022
303	English	father	44	father	fɑðər	f ɑ ð ə r	106	f ɑ ð ə r	452 952 419 1022 153
304	French	father	44	père	pɛr	p ɛ r	106	p ɛ r	291 1121 153
305	German	father	44	Vater	faːtər	f aː t ə r	106	f aː t ə r	452 1004 120 1022 153
306	Hawaiian	father	44	makua kāne	makuakaːne	m a k u a k aː n e	109	m a k u a k aː n e	241 997 838 868 997 838 1004 107 1089
307	Navajo	father	44	'ataa'	taːʔ	t aː ʔ	108	t aː ʔ	120 1004 409
308	Turkish	father	44	baba	baba	b a b a	107	b a b a	257 997 257 997
